rel_path,filename,page_count,pc1,pc2
CUAD_v1/Affiliate_Agreements/UnionDentalHoldingsInc_20050204_8-KA_EX-10_3345577_EX-10_Affiliate Agreement.pdf,UnionDentalHoldingsInc_20050204_8-KA_EX-10_3345577_EX-10_Affiliate Agreement.pdf,3,17.540969848632812,1.5410139560699463
CUAD_v1/Affiliate_Agreements/UsioInc_20040428_SB-2_EX-10.11_1723988_EX-10.11_Affiliate Agreement 2.pdf,UsioInc_20040428_SB-2_EX-10.11_1723988_EX-10.11_Affiliate Agreement 2.pdf,6,17.654712677001953,1.5788750648498535
CUAD_v1/Agency Agreements/AFSALABANCORPINC_08_01_1996-EX-1.1-AGENCY AGREEMENT.PDF,AFSALABANCORPINC_08_01_1996-EX-1.1-AGENCY AGREEMENT.PDF,21,17.00240707397461,0.8263241648674011
CUAD_v1/Agency Agreements/ALAMOGORDOFINANCIALCORP_12_16_1999-EX-1-AGENCY AGREEMENT.PDF,ALAMOGORDOFINANCIALCORP_12_16_1999-EX-1-AGENCY AGREEMENT.PDF,24,17.03933334350586,0.7887030839920044
CUAD_v1/Agency Agreements/ALCOSTORESINC_12_14_2005-EX-10.26-AGENCY AGREEMENT.PDF,ALCOSTORESINC_12_14_2005-EX-10.26-AGENCY AGREEMENT.PDF,3,18.06574249267578,0.49582439661026
CUAD_v1/Agency Agreements/ALLIANCEBANCORPINCOFPENNSYLVANIA_10_18_2006-EX-1.2-AGENCY AGREEMENT.PDF,ALLIANCEBANCORPINCOFPENNSYLVANIA_10_18_2006-EX-1.2-AGENCY AGREEMENT.PDF,41,17.041597366333008,0.7950623631477356
CUAD_v1/Agency Agreements/AMERICANPHYSICIANSCAPITALINC_03_31_2003-EX-10.26-AGENCY AGREEMENT.PDF,AMERICANPHYSICIANSCAPITALINC_03_31_2003-EX-10.26-AGENCY AGREEMENT.PDF,6,17.486106872558594,1.7347534894943237
CUAD_v1/Agency Agreements/BANUESTRAFINANCIALCORP_09_08_2006-EX-10.16-AGENCY AGREEMENT.PDF,BANUESTRAFINANCIALCORP_09_08_2006-EX-10.16-AGENCY AGREEMENT.PDF,14,17.032655715942383,0.8066971898078918
CUAD_v1/Agency Agreements/BIOPURECORP_06_30_1999-EX-10.13-AGENCY AGREEMENT.PDF,BIOPURECORP_06_30_1999-EX-10.13-AGENCY AGREEMENT.PDF,8,17.609724044799805,1.9100977182388306
"CUAD_v1/Agency Agreements/BLUEHILLSBANCORP,INC_05_20_2014-EX-1.1-AGENCY AGREEMENT.PDF","BLUEHILLSBANCORP,INC_05_20_2014-EX-1.1-AGENCY AGREEMENT.PDF",32,17.024072647094727,0.8130500316619873
"CUAD_v1/Agency Agreements/BLUEROCKRESIDENTIALGROWTHREIT,INC_06_01_2016-EX-1.1-AGENCY AGREEMENT.PDF","BLUEROCKRESIDENTIALGROWTHREIT,INC_06_01_2016-EX-1.1-AGENCY AGREEMENT.PDF",47,17.02422523498535,0.776160478591919
CUAD_v1/Co_Branding/2ThemartComInc_19990826_10-12G_EX-10.10_6700288_EX-10.10_Co-Branding Agreement_ Agency Agreement.pdf,2ThemartComInc_19990826_10-12G_EX-10.10_6700288_EX-10.10_Co-Branding Agreement_ Agency Agreement.pdf,9,17.953699111938477,1.6334694623947144
CUAD_v1/Co_Branding/DeltathreeInc_19991102_S-1A_EX-10.19_6227850_EX-10.19_Co-Branding Agreement_ Service Agreement.pdf,DeltathreeInc_19991102_S-1A_EX-10.19_6227850_EX-10.19_Co-Branding Agreement_ Service Agreement.pdf,6,17.90549659729004,1.6018283367156982
CUAD_v1/Co_Branding/EbixInc_20010515_10-Q_EX-10.3_4049767_EX-10.3_Co-Branding Agreement.pdf,EbixInc_20010515_10-Q_EX-10.3_4049767_EX-10.3_Co-Branding Agreement.pdf,8,17.9786376953125,1.6207022666931152
CUAD_v1/Co_Branding/EdietsComInc_20001030_10QSB_EX-10.4_2606646_EX-10.4_Co-Branding Agreement.pdf,EdietsComInc_20001030_10QSB_EX-10.4_2606646_EX-10.4_Co-Branding Agreement.pdf,13,18.00356674194336,1.6309200525283813
CUAD_v1/Co_Branding/EmbarkComInc_19991008_S-1A_EX-10.10_6487661_EX-10.10_Co-Branding Agreement.pdf,EmbarkComInc_19991008_S-1A_EX-10.10_6487661_EX-10.10_Co-Branding Agreement.pdf,9,17.969511032104492,1.6225802898406982
CUAD_v1/Co_Branding/HealthcentralCom_19991108_S-1A_EX-10.27_6623292_EX-10.27_Co-Branding Agreement.pdf,HealthcentralCom_19991108_S-1A_EX-10.27_6623292_EX-10.27_Co-Branding Agreement.pdf,13,18.011917114257812,1.6392672061920166
CUAD_v1/Co_Branding/ImpresseCorp_20000322_S-1A_EX-10.11_5199234_EX-10.11_Co-Branding Agreement.pdf,ImpresseCorp_20000322_S-1A_EX-10.11_5199234_EX-10.11_Co-Branding Agreement.pdf,8,18.00584602355957,1.6243672370910645
CUAD_v1/Co_Branding/IntegrityMediaInc_20010329_10-K405_EX-10.17_2373875_EX-10.17_Co-Branding Agreement.pdf,IntegrityMediaInc_20010329_10-K405_EX-10.17_2373875_EX-10.17_Co-Branding Agreement.pdf,6,17.592636108398438,1.494013786315918
CUAD_v1/Co_Branding/InvendaCorp_20000828_S-1A_EX-10.2_2588206_EX-10.2_Co-Branding Agreement.pdf,InvendaCorp_20000828_S-1A_EX-10.2_2588206_EX-10.2_Co-Branding Agreement.pdf,27,18.006826400756836,1.6297292709350586
CUAD_v1/Co_Branding/LeadersonlineInc_20000427_S-1A_EX-10.8_4991089_EX-10.8_Co-Branding Agreement.pdf,LeadersonlineInc_20000427_S-1A_EX-10.8_4991089_EX-10.8_Co-Branding Agreement.pdf,10,17.978132247924805,1.596727967262268
